,,,,
,DATASET,,,
,,,,
,C107,FEAR,mel,takut
,C108,SLEEP,id,tidur
,C108,SLEEP,su,saré
,C108,SLEEP,mel,tidur
,C109,LIVE,id,hidup
,C109,LIVE,su,hirup
,C109,LIVE,mel,hidup
,C110,DIE,id,mati
,C110,DIE,su,maot
,C110,DIE,mel,mati
,C111,KILL,id,bunuh
,C111,KILL,su,maéhan
,C111,KILL,mel,bunuh
,C112,FIGHT,id,kelahi
,C112,FIGHT,su,gelut
,C112,FIGHT,mel,gaduh
,C113,HUNT,id,buru
,C113,HUNT,su,moro
,C113,HUNT,mel,buru
,C114,HIT,id,pukul
,C114,HIT,su,takol
,C114,HIT,mel,hempuk
,C115,CUT,id,potong
,C115,CUT,su,teukteuk
,C115,CUT,mel,potong
,C116,SPLIT,id,belah
,C116,SPLIT,su,beulah
,C116,SPLIT,mel,bahagi
,C117,STAB,id,tusuk
,C117,STAB,su,colok
,C117,STAB,mel,cucuk
,C118,SCRATCH,id,garuk
,C118,SCRATCH,su,corét
,C118,SCRATCH,mel,conteng
,C119,DIG,id,gali
,C119,DIG,su,gali
,C119,DIG,mel,gali
,C120,SWIM,id,renang
,C120,SWIM,su,ojay
,C120,SWIM,mel,renang
,C121,FLY,id,terbang
,C121,FLY,su,hiber
,C121,FLY,mel,terbang
,C122,WALK,id,jalan
,C122,WALK,su,leumpang
,C122,WALK,mel,jalan
,C123,COME,id,datang
,C123,COME,su,datang
,C123,COME,mel,tibe
,C124,LIE ,id,baring
,C124,LIE ,su,kedeng
,C124,LIE ,mel,baring
,C125,SIT,id,duduk
,C125,SIT,su,diuk
,C125,SIT,mel,duduk
,C126,STAND,id,diri
,C126,STAND,su,tangtung
,C126,STAND,mel,berdiri
,C127,TURN,id,belok
,C127,TURN,su,méngkol
,C127,TURN,mel,pusing
,C128,FALL,id,jatuh
,C128,FALL,su,labuh
,C128,FALL,mel,jatuh
,C129,GIVE,id,beri
,C129,GIVE,su,béré
,C129,GIVE,mel,kongsi
,C130,HOLD,id,pegang
,C130,HOLD,su,tahan
,C130,HOLD,mel,pegang
,C131,SQUEEZE,id,peras
,C131,SQUEEZE,su,peureut
,C131,SQUEEZE,mel,peras
,C132,RUB,id,gosok
,C132,RUB,su,gosok
,C132,RUB,mel,gesel
,C133,WASH,id,cuci
,C133,WASH,su,kumbah
,C133,WASH,mel,cuci
,C134,WIPE,id,usap
,C134,WIPE,su,hapus
,C134,WIPE,mel,padam
,C135,PULL,id,tarik
,C135,PULL,su,betot
,C135,PULL,mel,tarik
,C136,PUSH,id,dorong
,C136,PUSH,su,surung
,C136,PUSH,mel,tolak
,C137,THROW,id,lempar
,C137,THROW,su,alung
,C137,THROW,mel,buang
,C138,TIE,id,ikat
,C138,TIE,su,beungkeut
,C138,TIE,mel,hikat
,C139,SEW,id,jahit
,C139,SEW,su,kaput
,C139,SEW,mel,jahit
,C140,COUNT,id,hitung
,C140,COUNT,su,itung
,C140,COUNT,mel,kire
,C141,SAY,id,berkata
,C141,SAY,su,nyarita
,C141,SAY,mel,cakap
,C142,SING,id,bernyanyi
,C142,SING,su,nyanyi
,C142,SING,mel,menyanyi
,C143,PLAY,id,bermain
,C143,PLAY,su,ulin
,C143,PLAY,mel,main
,C144,FLOAT,id,mengapung
,C144,FLOAT,su,ambang
,C144,FLOAT,mel,terapung
,C145,FLOW,id,mengalir
,C145,FLOW,su,palid
,C145,FLOW,mel,mengalir
,C146,FREEZE,id,membeku
,C146,FREEZE,su,beku
,C146,FREEZE,mel,beku
,C147,SWELL,id,membengkak
,C147,SWELL,su,bareuh
,C147,SWELL,mel,bengkak
,C148,SUN,id,matahari
,C148,SUN,su,panonpoé
,C148,SUN,mel,matahari
,C149,MOON,id,bulan
,C149,MOON,su,bulan
,C149,MOON,mel,bulan
,C150,STAR,id,bintang
,C150,STAR,su,béntang
,C150,STAR,mel,bintang
,C151,WATER,id,air
,C151,WATER,su,cai
,C151,WATER,mel,air
,C152,RAIN,id,hujan
,C152,RAIN,su,hujan
,C152,RAIN,mel,hujan
,C153,RIVER,id,sungai
,C153,RIVER,su,walungan
,C153,RIVER,mel,sungai
,C154,LAKE,id,danau
,C154,LAKE,su,situ
,C154,LAKE,mel,tasik
,C155,SEA,id,laut
,C155,SEA,su,sagara
,C155,SEA,mel,laut
,C156,SALT,id,garam
,C156,SALT,su,uyah
,C156,SALT,mel,garam
,C157,STONE,id,batu
,C157,STONE,su,batu
,C157,STONE,mel,batu
,C158,SAND,id,pasir
,C158,SAND,su,keusik
,C158,SAND,mel,pasir
,C159,DUST,id,debu
,C159,DUST,su,kebul
,C159,DUST,mel,debu
,C160,EARTH,id,bumi
,C160,EARTH,su,marcapada
,C160,EARTH,mel,bumi
,C161,CLOUD,id,awan
,C161,CLOUD,su,méga
,C161,CLOUD,mel,awan
,C162,FOG,id,kabut
,C162,FOG,su,halimun
,C162,FOG,mel,kabut
,C163,SKY,id,langit
,C163,SKY,su,langit
,C163,SKY,mel,langit
,C164,WIND,id,angin
,C164,WIND,su,angin
,C164,WIND,mel,angin
,C165,SNOW,id,salju
,C165,SNOW,su,salju
,C165,SNOW,mel,salji
,C166,ICE,id,es
,C166,ICE,su,és
,C166,ICE,mel,ais
,C167,SMOKE,id,asap
,C167,SMOKE,su,haseup
,C167,SMOKE,mel,asap
,C168,FIRE,id,api
,C168,FIRE,su,seuneu
,C168,FIRE,mel,api
,C169,ASHES,id,abu
,C169,ASHES,su,lebu
,C169,ASHES,mel,abu
,C170,BURN,id,bakar
,C170,BURN,su,duruk
,C170,BURN,mel,bakar
,C171,ROAD,id,jalan
,C171,ROAD,su,jalan
,C171,ROAD,mel,jalan
,C172,MOUNTAIN,id,gunung
,C172,MOUNTAIN,su,gunung
,C172,MOUNTAIN,mel,gunung
,C173,RED,id,merah
,C173,RED,su,beureum
,C173,RED,mel,merah
,C174,GREEN,id,hijau
,C174,GREEN,su,héjo
,C174,GREEN,mel,hijau
,C175,YELLOW,id,kuning
,C175,YELLOW,su,konéng
,C175,YELLOW,mel,kuning
,C176,WHITE,id,putih
,C176,WHITE,su,bodas
,C176,WHITE,mel,putih
,C177,BLACK,id,hitam
,C177,BLACK,su,hideung
,C177,BLACK,mel,hitam
,C178,NIGHT,id,malam
,C178,NIGHT,su,peuting
,C178,NIGHT,mel,malam
,C179,DAY,id,hari
,C179,DAY,su,poé
,C179,DAY,mel,hari
,C180,YEAR,id,tahun
,C180,YEAR,su,taun
,C180,YEAR,mel,tahun
,C181,WARM,id,hangat
,C181,WARM,su,haneut
,C181,WARM,mel,hangat
,C182,COLD,id,dingin
,C182,COLD,su,tiis
,C182,COLD,mel,sejuk
,C183,FULL,id,penuh
,C183,FULL,su,pinuh
,C183,FULL,mel,penuh
,C184,NEW,id,baru
,C184,NEW,su,anyar
,C184,NEW,mel,baru
,C185,OLD,id,lama
,C185,OLD,su,heubeul
,C185,OLD,mel,lame
,C186,GOOD,id,baik
,C186,GOOD,su,alus
,C186,GOOD,mel,bagus
,C187,BAD,id,buruk
,C187,BAD,su,goréng
,C187,BAD,mel,buruk
,C188,ROTTEN,id,busuk
,C188,ROTTEN,su,buruk
,C188,ROTTEN,mel,busuk
,C189,DIRTY,id,kotor
,C189,DIRTY,su,bagedur
,C189,DIRTY,mel,kotor
,C190,STRAIGHT,id,lurus
,C190,STRAIGHT,su,lempeng
,C190,STRAIGHT,mel,lurus
,C191,ROUND,id,bulat
,C191,ROUND,su,buleud
,C191,ROUND,mel,bulat
,C192,SHARP,id,tajam
,C192,SHARP,su,seukeut
,C192,SHARP,mel,tajam
,C193,DULL,id,tumpul
,C193,DULL,su,mintul
,C193,DULL,mel,tumpul
,C194,SMOOTH,id,licin
,C194,SMOOTH,su,lésang
,C194,SMOOTH,mel,licin
,C195,WET,id,basah
,C195,WET,su,baseuh
,C195,WET,mel,basah
,C196,DRY,id,kering
,C196,DRY,su,garing
,C196,DRY,mel,kering
,C197,CORRECT,id,betul
,C197,CORRECT,su,bener
,C197,CORRECT,mel,betul
,C198,NEAR,id,dekat
,C198,NEAR,su,deukeut
,C198,NEAR,mel,dekat
,C199,FAR,id,jauh
,C199,FAR,su,jauh
,C199,FAR,mel,jauh
,C200,RIGHT,id,kanan
,C200,RIGHT,su,katuhu
,C200,RIGHT,mel,kanan
,C201,LEFT,id,kiri
,C201,LEFT,su,kénca
,C201,LEFT,mel,kiri
,C202,AT,id,di
,C202,AT,su,di
,C202,AT,mel,di
,C203,IN,id,dalam
,C203,IN,su,jero
,C203,IN,mel,dalam
,C204,WITH,id,dengan
,C204,WITH,su,jeung
,C204,WITH,mel,dengan
,C205,AND,id,dan
,C205,AND,su,jeung
,C205,AND,mel,dan
,C206,IF,id,kalau
,C206,IF,su,lamun
,C206,IF,mel,kalau
,C207,BECAUSE,id,karena
,C207,BECAUSE,su,ku_sabab
,C207,BECAUSE,mel,sebab
,C208,NAME,id,nama
,C208,NAME,su,aran
,C208,NAME,mel,nama
